date,1. open,2. high,3. low,4. close,5. volume
2017-02-23,18.425,18.425,18.425,18.425,0.0
2017-02-22,18.425,18.425,18.425,18.425,0.0
2017-02-21,18.425,18.425,18.425,18.425,0.0
2017-02-17,18.425,18.425,18.425,18.425,0.0
2017-02-16,18.425,18.425,18.425,18.425,0.0
2017-02-15,18.425,18.425,18.425,18.425,0.0
2017-02-14,18.425,18.425,18.425,18.425,0.0
2017-02-13,18.425,18.425,18.425,18.425,0.0
2017-02-10,18.425,18.425,18.425,18.425,0.0
2017-02-09,18.425,18.425,18.425,18.425,0.0
2017-02-08,18.425,18.425,18.425,18.425,0.0
2017-02-07,18.425,18.425,18.425,18.425,0.0
2017-02-06,18.425,18.425,18.425,18.425,0.0
2017-02-03,18.425,18.425,18.425,18.425,0.0
2017-02-02,18.425,18.425,18.425,18.425,0.0
2017-02-01,18.425,18.425,18.425,18.425,0.0
2017-01-31,18.425,18.425,18.425,18.425,25000.0
2017-01-30,17.85,17.85,17.85,17.85,0.0
2017-01-27,17.85,17.85,17.85,17.85,0.0
2017-01-26,17.85,17.85,17.85,17.85,0.0
2017-01-25,17.85,17.85,17.85,17.85,0.0
2017-01-24,17.85,17.85,17.85,17.85,0.0
2017-01-23,17.85,17.85,17.85,17.85,0.0
2017-01-20,17.85,17.85,17.85,17.85,0.0
2017-01-19,17.85,17.85,17.85,17.85,0.0
2017-01-18,17.85,17.85,17.85,17.85,0.0
2017-01-17,17.85,17.85,17.85,17.85,0.0
2017-01-13,17.85,17.85,17.85,17.85,0.0
2017-01-12,17.85,17.85,17.85,17.85,0.0
2017-01-11,17.85,17.85,17.85,17.85,50000.0
2017-01-10,17.85,17.85,17.85,17.85,0.0
2017-01-09,17.85,17.85,17.85,17.85,0.0
2017-01-06,17.85,17.85,17.85,17.85,0.0
2017-01-05,17.85,17.85,17.85,17.85,250.0
2017-01-04,18.2,18.2,18.2,18.2,0.0
2017-01-03,18.2,18.2,18.2,18.2,100.0
2016-12-30,22.8,22.8,22.8,22.8,0.0
2016-12-29,22.8,22.8,22.8,22.8,0.0
2016-12-28,21.45,22.8,21.45,22.8,5100.0
2016-12-27,17.85,17.85,17.85,17.85,0.0
2016-12-23,17.85,17.85,17.85,17.85,0.0
2016-12-22,17.85,17.85,17.85,17.85,0.0
2016-12-21,17.85,17.85,17.85,17.85,0.0
2016-12-20,17.85,17.85,17.85,17.85,0.0
2016-12-19,17.85,17.85,17.85,17.85,0.0
2016-12-16,17.85,17.85,17.85,17.85,0.0
2016-12-15,17.85,17.85,17.85,17.85,500.0
2016-12-14,17.85,17.85,17.85,17.85,2500.0
2016-12-13,20.325,20.325,20.325,20.325,89.0
2016-12-12,20.325,20.325,20.325,20.325,12000.0
2016-12-09,20.325,20.325,20.325,20.325,2800.0
2016-12-08,17.85,17.85,17.85,17.85,6000.0
2016-12-07,17.85,17.85,17.85,17.85,0.0
2016-12-06,17.85,17.85,17.85,17.85,2631.0
2016-12-05,17.85,17.85,17.85,17.85,500.0
2016-12-02,18.15,18.15,18.15,18.15,0.0
2016-12-01,18.15,18.15,18.15,18.15,0.0
2016-11-30,18.15,18.15,18.15,18.15,0.0
2016-11-29,17.85,18.15,17.85,18.15,31500.0
2016-11-28,17.87,17.87,17.87,17.87,100.0
2016-11-25,18.15,18.15,18.15,18.15,0.0
2016-11-23,18.15,18.15,18.15,18.15,0.0
2016-11-22,18.15,18.15,18.15,18.15,501.0
2016-11-21,17.85,17.85,17.85,17.85,0.0
2016-11-18,17.85,17.85,17.85,17.85,500.0
2016-11-17,18.15,18.15,18.15,18.15,301.0
2016-11-16,18.15,18.15,18.15,18.15,2500.0
2016-11-15,18.025,18.025,18.025,18.025,1000.0
2016-11-14,18.15,18.15,18.0,18.1,9800.0
2016-11-11,17.86,17.86,17.86,17.86,0.0
2016-11-10,17.86,17.86,17.86,17.86,0.0
2016-11-09,17.85,18.0,17.85,17.86,11500.0
2016-11-08,17.85,17.85,17.85,17.85,10000.0
2016-11-07,17.85,17.85,17.85,17.85,0.0
2016-11-04,17.85,17.85,17.85,17.85,500.0
2016-11-03,18.0,18.0,17.85,18.0,3800.0
2016-11-02,17.85,17.9,17.85,17.85,2500.0
2016-11-01,18.0,18.15,18.0,18.15,1210.0
2016-10-31,18.14,18.14,18.14,18.14,500.0
2016-10-28,18.15,18.15,18.15,18.15,0.0
2016-10-27,18.15,18.15,18.15,18.15,15000.0
2016-10-26,18.0,18.0,18.0,18.0,1100.0
2016-10-25,18.0,18.0,18.0,18.0,16000.0
2016-10-24,17.85,18.15,17.85,18.15,1200.0
2016-10-21,17.95,17.95,17.85,17.95,1201.0
2016-10-20,17.95,17.95,17.95,17.95,100.0
2016-10-19,20.1,20.1,17.9,17.9,1550.0
2016-10-18,20.0,20.0,18.0,18.2,13200.0
2016-10-17,15.15,15.15,15.15,15.15,800.0
2016-10-14,20.1,20.2,16.1,16.1,24550.0
2016-10-13,16.65,20.1,16.65,20.1,137700.0
2016-10-12,20.1,20.1,16.5,16.5,21300.0
2016-10-11,15.2,15.25,15.15,15.25,14673.0
2016-10-10,20.1,20.2,19.0,19.0,65600.0
2016-10-07,20.1,20.15,18.3,20.05,165507.0
2016-10-06,19.75,20.05,19.75,20.05,26300.0
2016-10-05,19.85,20.1,19.75,20.1,14200.0
2016-10-04,19.9,19.9,19.9,19.9,0.0
2016-10-03,20.1,20.1,19.9,19.9,5703.0
2016-09-30,19.85,20.1,19.8,19.85,1046365.0
2016-09-29,20.1,20.15,18.5,19.85,190301.0
2016-09-28,19.65,21.0,18.0,20.0,79500.0
2016-09-27,18.0,18.0,15.65,17.45,58650.0
2016-09-26,15.75,17.25,15.7,15.8,108100.0
2016-09-23,17.05,17.2,17.05,17.2,18300.0
2016-09-22,0.01,20.15,0.01,20.15,94600.0
2016-09-21,20.05,22.0,18.45,20.9,133650.0
2016-09-20,30.05,30.05,28.0,28.0,51200.0
2016-09-19,30.0,30.0,30.0,30.0,0.0
2016-09-16,30.0,30.0,30.0,30.0,500.0
2016-09-15,30.0,30.0,30.0,30.0,0.0
2016-09-14,30.0,30.0,30.0,30.0,0.0
2016-09-13,30.0,30.0,30.0,30.0,0.0
2016-09-12,30.0,30.0,30.0,30.0,0.0
2016-09-09,30.0,30.0,30.0,30.0,0.0
2016-09-08,30.0,30.0,30.0,30.0,1000.0
2016-09-07,30.1,30.1,30.1,30.1,0.0
2016-09-06,30.1,30.1,30.1,30.1,200.0
2016-09-02,30.05,30.05,30.05,30.05,0.0
2016-09-01,30.05,30.05,30.05,30.05,200.0
2016-08-31,30.05,30.05,30.05,30.05,100.0
2016-08-30,30.05,30.05,30.05,30.05,1200.0
2016-08-29,30.1,30.1,30.1,30.1,0.0
2016-08-26,30.1,30.1,30.1,30.1,100.0
